Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
KIA,PETROL,1025,6.39,5.56,0.82,14.78,145.5,126.76,18.74,14.78,6.33,5.6,0.72,12.93,144.17,127.66,16.51,12.93
SKODA,PETROL,2494,7.29,6.13,1.16,18.96,166.07,139.6,26.47,18.96,7.16,6.12,1.03,16.9,163.03,139.45,23.57,16.9
HYUNDAI CZECH,PETROL,1592,7.22,6.26,0.95,15.23,164.36,142.64,21.72,15.23,7.09,6.23,0.86,13.83,161.59,141.95,19.63,13.83
TOYOTA,PETROL,6338,5.6,4.99,0.61,12.27,127.52,113.59,13.93,12.27,5.67,5.05,0.62,12.3,129.15,115,14.14,12.3
MERCEDES-BENZ AG,PETROL,29995,10.53,8.46,2.07,24.45,239.83,192.71,47.13,24.45,10.68,8.67,2.01,23.12,243.3,197.61,45.68,23.12
VOLVO,DIESEL,18674,7.28,6.23,1.05,16.85,191.48,163.86,27.62,16.85,7.05,6.19,0.86,13.82,185.51,162.98,22.53,13.82
AUTOMOBILES CITROEN,PETROL,2457,6.49,5.63,0.87,15.44,147.95,128.15,19.79,15.44,6.35,5.64,0.72,12.76,144.75,128.37,16.38,12.76
FIAT GROUP,DIESEL,6470,5.85,4.93,0.92,18.67,153.96,129.74,24.22,18.67,5.64,4.88,0.76,15.65,148.48,128.39,20.09,15.65
AUDI SPORT,PETROL,464,14.44,11.54,2.91,25.18,329,262.82,66.18,25.18,14.23,11.77,2.46,20.87,324.21,268.23,55.98,20.87
ROLLS ROYCE,PETROL,20,18.79,15.97,2.82,17.66,428.1,363.85,64.25,17.66,17.63,15.97,1.65,10.36,401.54,363.84,37.69,10.36
VOLVO,DIESEL/ELECTRIC,1,10.47,1.82,8.65,474,275.52,48,227.52,474,10.47,1.82,8.65,474,275.52,48,227.52,474
RENAULT,PETROL,28846,7.48,5.72,1.76,30.74,170.42,130.35,40.07,30.74,7.29,5.72,1.57,27.5,166.16,130.32,35.84,27.5
BMW AG,PETROL/ELECTRIC,7521,6.73,1.65,5.08,308.65,153.29,37.51,115.78,308.65,6.95,1.63,5.32,327.54,158.33,37.03,121.29,327.54
BMW GMBH,PETROL,1519,14.76,11.17,3.59,32.15,336.28,254.47,81.81,32.15,14.8,11.26,3.55,31.51,337.22,256.42,80.8,31.51
PORSCHE,PETROL/ELECTRIC,1210,10.79,3.03,7.76,256.01,245.71,69.02,176.69,256.01,10.8,3.02,7.78,257.58,246.06,68.81,177.25,257.58
SEAT,DIESEL,1495,6.57,5.3,1.26,23.81,172.79,139.55,33.23,23.81,6.47,5.29,1.18,22.28,170.11,139.12,30.99,22.28
TOYOTA,DIESEL,8,10.73,9.34,1.38,14.82,282.18,245.75,36.43,14.82,10.41,9.37,1.04,11.05,273.78,246.55,27.23,11.05
DACIA,DIESEL,833,5.81,4.89,0.92,18.78,152.74,128.59,24.15,18.78,5.85,4.88,0.98,20.03,153.98,128.28,25.69,20.03
FIAT GROUP,PETROL,15126,7.01,5.85,1.17,19.93,159.72,133.18,26.55,19.93,6.8,5.89,0.92,15.57,154.97,134.09,20.88,15.57
ALFA ROMEO,DIESEL,1751,7.42,5.85,1.57,26.81,195.11,153.86,41.25,26.81,7.31,5.84,1.46,25.06,192.29,153.76,38.53,25.06
NISSAN AUTOMOTIVE EUROPE,PETROL,6872,7.76,6.15,1.61,26.15,176.77,140.13,36.64,26.15,7.55,6.15,1.4,22.76,172.07,140.17,31.9,22.76
TOYOTA MOTOR CORPORATION,PETROL,52,5.37,4.8,0.57,11.91,122.26,109.25,13.01,11.91,5.26,4.76,0.5,10.55,119.87,108.43,11.44,10.55
VOLVO,PETROL,8988,8.47,7.24,1.23,16.96,192.86,164.89,27.97,16.96,8.24,7.25,0.99,13.7,187.82,165.19,22.62,13.7
FORD WERKE GMBH,PETROL/ELECTRIC,19819,4.72,1.56,3.16,202.99,107.55,35.5,72.06,202.99,4.84,1.61,3.23,200.12,110.26,36.74,73.52,200.12
KIA SLOVAKIA,PETROL,1391,8.01,6.69,1.32,19.72,182.4,152.36,30.04,19.72,7.93,6.63,1.3,19.66,180.62,150.94,29.68,19.66
AUTOMOBILES PEUGEOT,PETROL,1817,7.37,6.17,1.2,19.45,167.96,140.6,27.35,19.45,7.35,6.23,1.12,17.96,167.35,141.87,25.48,17.96
CHRYSLER,PETROL,2216,8.46,6.89,1.57,22.79,192.73,156.96,35.77,22.79,8.21,6.88,1.33,19.32,187.02,156.74,30.28,19.32
PSA,PETROL,8357,6.8,5.68,1.12,19.77,155,129.41,25.59,19.77,6.69,5.7,0.99,17.37,152.36,129.81,22.55,17.37
JAGUAR LAND ROVER LIMITED,DIESEL,19663,8.41,7.1,1.31,18.46,221.34,186.84,34.5,18.46,8.31,7.1,1.21,17.04,218.52,186.7,31.82,17.04
AUDI HUNGARIA,PETROL,34,9.13,7.47,1.65,22.09,207.88,170.26,37.61,22.09,8.97,7.52,1.45,19.26,204.26,171.28,32.99,19.26
CHRYSLER,DIESEL,2468,6.1,5.1,1,19.64,160.49,134.14,26.35,19.64,6,5.1,0.9,17.64,157.76,134.11,23.66,17.64
PSA,PETROL/ELECTRIC,1471,5.94,1.47,4.47,303.83,135.42,33.53,101.88,303.83,6.07,1.48,4.59,309.29,138.28,33.79,104.49,309.29
AUTOMOBILES PEUGEOT,DIESEL,5940,5.99,5.18,0.81,15.65,157.53,136.22,21.31,15.65,5.92,5.14,0.77,15.07,155.69,135.3,20.39,15.07
HYUNDAI,PETROL,258,6.36,5.77,0.59,10.28,144.93,131.43,13.5,10.28,5.9,5.61,0.29,5.21,134.46,127.8,6.66,5.21
BENTLEY,PETROL,70,14.82,12.56,2.25,17.95,337.54,286.19,51.36,17.95,14.57,12.71,1.86,14.66,331.86,289.42,42.43,14.66
MITSUBISHI MOTORS THAILAND,PETROL,3,5.76,4.92,0.84,17.08,131.13,112,19.13,17.08,5.33,4.92,0.42,8.45,121.47,112,9.47,8.45
FIAT GROUP,PETROL/ELECTRIC,1061,6.49,2.07,4.42,213.97,147.81,47.08,100.73,213.97,6.48,2.07,4.41,212.73,147.64,47.21,100.43,212.73
SKODA,DIESEL,4295,6.22,5.14,1.08,21.03,163.69,135.25,28.44,21.03,6.12,5.09,1.03,20.25,161.14,134.01,27.13,20.25
MERCEDES-BENZ AG,DIESEL/ELECTRIC,24892,5.83,1.41,4.41,312.11,153.3,37.2,116.1,312.11,5.94,1.42,4.52,317.81,156.4,37.43,118.97,317.81
SUBARU,PETROL,10,9.5,8.18,1.32,16.15,216.5,186.4,30.1,16.15,9.23,8.22,1.01,12.28,210.19,187.2,22.98,12.28
RENAULT,PETROL/ELECTRIC,2244,4.13,1.47,2.66,180.77,94.13,33.53,60.61,180.77,4.2,1.48,2.72,184.33,95.67,33.65,62.02,184.33
BMW AG,PETROL,10876,8.89,7.02,1.86,26.49,202.4,160.01,42.39,26.49,8.84,7.12,1.72,24.14,201.33,162.18,39.15,24.14
PORSCHE,PETROL,2192,13.45,11.16,2.3,20.57,306.5,254.21,52.28,20.57,13.06,11.15,1.91,17.14,297.55,254.01,43.55,17.14
FORD MOTOR COMPANY,PETROL,811,14.95,11.61,3.34,28.75,340.6,264.55,76.05,28.75,14.6,11.57,3.03,26.18,332.5,263.52,68.99,26.18
FERRARI,PETROL,58,16.28,11.2,5.08,45.35,370.91,255.19,115.72,45.35,15.33,11.2,4.13,36.86,349.19,255.14,94.04,36.86
PSA,DIESEL,8116,5.46,4.68,0.78,16.69,143.55,123.02,20.53,16.69,5.45,4.67,0.77,16.53,143.27,122.95,20.32,16.53
HYUNDAI,PETROL/ELECTRIC,22,5.55,1.47,4.08,277.21,126.36,33.5,92.86,277.21,3.05,1.32,1.74,132.21,69.59,29.97,39.62,132.21
HYUNDAI,DIESEL,48,7.31,6.38,0.92,14.45,192.23,167.96,24.27,14.45,6.73,6.52,0.22,3.31,177.11,171.44,5.67,3.31
RENAULT,DIESEL,10434,6.25,5.25,1,19.14,164.46,138.03,26.42,19.14,6.05,5.15,0.89,17.3,159.06,135.6,23.46,17.3
BENTLEY,PETROL/ELECTRIC,1,12.97,3.6,9.37,260.37,295.5,82,213.5,260.37,12.97,3.6,9.37,260.37,295.5,82,213.5,260.37
AUTOMOBILES CITROEN,DIESEL,1867,5.39,4.7,0.69,14.65,141.78,123.67,18.12,14.65,5.35,4.68,0.68,14.47,140.88,123.08,17.8,14.47
SEAT,PETROL/ELECTRIC,2283,4.98,1.31,3.66,279.47,113.34,29.87,83.47,279.47,5.09,1.31,3.79,290.09,116.02,29.74,86.28,290.09
KIA SLOVAKIA,DIESEL,308,6.11,5.3,0.81,15.23,160.64,139.41,21.23,15.23,6.08,5.27,0.81,15.42,160.08,138.69,21.39,15.42
OPEL AUTOMOBILE,PETROL,1146,6.97,5.95,1.02,17.1,158.73,135.54,23.18,17.1,6.91,5.99,0.92,15.32,157.32,136.42,20.9,15.32
HYUNDAI CZECH,DIESEL,141,5.64,4.84,0.8,16.42,148.39,127.45,20.93,16.42,5.55,4.77,0.78,16.46,146.02,125.39,20.64,16.46
MAZDA,DIESEL,166,7.09,6.15,0.94,15.34,186.51,161.7,24.81,15.34,6.8,6.14,0.67,10.88,178.98,161.42,17.56,10.88
SUZUKI MOTOR CORPORATION,PETROL/ELECTRIC,32,5.1,0.97,4.14,428.25,116.22,22,94.22,428.25,5.1,0.97,4.14,428.19,116.2,22,94.2,428.19
MAZDA,PETROL,1950,7.61,6.66,0.94,14.16,173.28,151.79,21.49,14.16,7.61,6.81,0.8,11.78,173.41,155.14,18.27,11.78
CNG TECHNIK,PETROL,58,5.81,5.76,0.04,0.78,132.28,131.26,1.02,0.78,5.81,5.75,0.06,1.01,132.39,131.08,1.32,1.01
MAGYAR SUZUKI,PETROL,2798,6.72,5.63,1.1,19.49,153.12,128.15,24.98,19.49,6.64,5.7,0.94,16.48,151.24,129.83,21.4,16.48
JAGUAR LAND ROVER LIMITED,PETROL/ELECTRIC,2520,9.38,2.91,6.47,222.2,213.57,66.28,147.28,222.2,9.71,2.99,6.72,224.68,221.12,68.1,153.02,224.68
VOLKSWAGEN,DIESEL,27374,6.5,5.6,0.9,16.09,170.97,147.27,23.7,16.09,6.35,5.53,0.82,14.86,167.13,145.5,21.62,14.86
FORD WERKE GMBH,DIESEL,31986,6.76,5.79,0.97,16.73,177.94,152.44,25.5,16.73,6.67,5.75,0.92,16.04,175.62,151.34,24.28,16.04
AUDI AG,DIESEL,7766,7.2,6.01,1.19,19.83,189.45,158.11,31.35,19.83,7.07,5.96,1.11,18.56,186.02,156.9,29.12,18.56
BMW AG,DIESEL,19035,7.08,5.71,1.38,24.1,186.4,150.2,36.2,24.1,6.96,5.66,1.31,23.07,183.15,148.82,34.34,23.07
MITSUBISHI MOTORS CORPORATION,PETROL/ELECTRIC,6,6.22,2.02,4.2,207.8,141.59,46,95.59,207.8,6.6,2.02,4.58,226.63,150.25,46,104.25,226.63
AUDI AG,PETROL/ELECTRIC,2603,6.9,1.63,5.27,323.06,157.28,37.18,120.11,323.06,7.2,1.66,5.53,333.06,163.93,37.85,126.07,333.06
VOLKSWAGEN,PETROL,21296,7.49,6.47,1.02,15.82,170.71,147.39,23.32,15.82,7.43,6.53,0.9,13.83,169.2,148.65,20.55,13.83
VOLKSWAGEN,PETROL/ELECTRIC,6323,5.34,1.33,4.01,300.51,121.73,30.39,91.33,300.51,5.65,1.37,4.28,311.31,128.76,31.3,97.45,311.31
FORD WERKE GMBH,PETROL,84828,7.13,5.66,1.47,25.96,162.53,129.03,33.5,25.96,7,5.68,1.32,23.34,159.5,129.32,30.18,23.34
SEAT,PETROL,2934,8.21,6.81,1.4,20.57,186.99,155.09,31.9,20.57,8.1,6.85,1.25,18.27,184.61,156.09,28.52,18.27
AUDI AG,PETROL,2978,8.53,7.01,1.52,21.65,194.35,159.76,34.59,21.65,8.58,7.15,1.43,19.92,195.43,162.96,32.47,19.92
JAGUAR LAND ROVER LIMITED,PETROL,4918,11.91,9.54,2.38,24.91,271.41,217.28,54.13,24.91,11.81,9.73,2.08,21.37,268.93,221.58,47.35,21.37
FERRARI,PETROL/ELECTRIC,91,20.06,6.88,13.18,191.51,457.03,156.78,300.25,191.51,19.59,6.88,12.72,184.92,446.34,156.66,289.69,184.92
KIA,DIESEL,37,8.03,6.66,1.38,20.68,211.38,175.16,36.22,20.68,8.16,6.69,1.47,22,214.62,175.91,38.7,22
MERCEDES-BENZ AG,DIESEL,49124,7.06,6.01,1.05,17.52,185.87,158.16,27.72,17.52,6.81,5.9,0.9,15.32,179.05,155.27,23.78,15.32
ALFA ROMEO,PETROL,396,11.59,8.6,2.99,34.7,264,195.99,68.01,34.7,11.14,8.52,2.62,30.8,253.75,194,59.76,30.8
MERCEDES-BENZ AG,PETROL/ELECTRIC,23506,5.8,1.49,4.31,290.21,132.12,33.86,98.26,290.21,6.3,1.56,4.74,303.73,143.49,35.54,107.95,303.73
VOLVO,PETROL/ELECTRIC,24121,6.62,2.26,4.35,192.18,150.71,51.58,99.13,192.18,6.76,2.26,4.5,199.02,154,51.5,102.5,199.02
KIA SLOVAKIA,PETROL/ELECTRIC,82,3.87,1.48,2.39,161.38,88.13,33.72,54.41,161.38,2.82,1.44,1.38,95.43,64.21,32.86,31.35,95.43
AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,1434,5.4,1.35,4.05,301.04,122.95,30.66,92.29,301.04,5.65,1.34,4.3,320.15,128.7,30.63,98.07,320.15
CHRYSLER,PETROL/ELECTRIC,1120,6.72,2.49,4.23,169.74,153.05,56.74,96.31,169.74,6.5,2.38,4.12,173.26,148.11,54.2,93.91,173.26
OPEL AUTOMOBILE,DIESEL,994,6,4.92,1.07,21.75,157.74,129.56,28.18,21.75,6.01,4.93,1.08,21.86,158.03,129.69,28.34,21.86
HYUNDAI CZECH,PETROL/ELECTRIC,59,5.53,1.36,4.17,306.55,126.03,31,95.03,306.55,5.68,1.36,4.31,317.06,129.29,31,98.29,317.06
DACIA,PETROL,14415,7.16,5.55,1.61,28.92,163.04,126.46,36.57,28.92,6.92,5.54,1.38,24.9,157.72,126.28,31.44,24.9
KIA,PETROL/ELECTRIC,75,5,1.59,3.42,215.53,114.01,36.13,77.88,215.53,3.12,1.49,1.63,109.88,71.1,33.87,37.22,109.88
SKODA,PETROL/ELECTRIC,857,5.04,1.13,3.91,345.26,114.86,25.8,89.07,345.26,5.21,1.14,4.07,357.83,118.76,25.94,92.82,357.83
TOYOTA,PETROL/ELECTRIC,40,4.09,0.97,3.13,323.68,93.21,22,71.21,323.68,3.88,0.97,2.91,301.38,88.3,22,66.3,301.38
HYUNDAI ASSAN,PETROL,527,6.09,5.28,0.81,15.25,138.69,120.34,18.35,15.25,6.02,5.28,0.74,14.09,137.1,120.17,16.93,14.09
AUDI HUNGARIA,DIESEL,10,7.15,5.71,1.43,25.1,188.03,150.3,37.73,25.1,7.08,5.63,1.45,25.67,186.2,148.16,38.03,25.67
SUZUKI MOTOR CORPORATION,PETROL,2231,5.4,4.94,0.47,9.43,123.06,112.46,10.61,9.43,5.27,4.96,0.31,6.34,120.15,112.98,7.17,6.34
SAIC MOTOR CORPORATION,PETROL/ELECTRIC,29,6.21,1.8,4.41,245.23,141.54,41,100.54,245.23,6.33,1.8,4.53,251.91,144.28,41,103.28,251.91
OPEL AUTOMOBILE,PETROL/ELECTRIC,317,5.47,1.36,4.12,303.31,124.71,30.92,93.79,303.31,5.53,1.36,4.18,308.11,126,30.87,95.13,308.11
MERCEDES AMG,PETROL,95,18.53,12.74,5.79,45.48,422.06,290.11,131.95,45.48,18.13,12.73,5.4,42.43,412.89,289.9,122.99,42.43
